Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Match,Season
League,Rashid Khan, Jaipur,Rajasthan Royals,Gujarat Titans,Gujarat Titans,Field_First,Gujarat Titans,3 Wickets,Wickets,197,24,2024
League,Jasprit Bumrah, Wankhede,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Field_First,Mumbai Indians,7 Wickets,Wickets,197,25,2024
League,Kuldeep Yadav, Lucknow,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,Bat_First,Delhi Capitals,6 Wickets,Wickets,168,26,2024
League,Shimron Hetmyer, Mullanpur,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Field_First,Rajasthan Royals,3 Wickets,Wickets,148,27,2024
League,Phil Salt, Eden Gardens,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,Field_First,Kolkata Knight Riders,8 Wickets,Wickets,162,28,2024
League,Matheesha Pathirana, Wankhede,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Field_First,Chennai Super Kings,20 Runs,Runs,207,29,2024
League,Travis Head, Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Field_First,Sunrisers Hyderabad,25 Runs,Runs,288,30,2024
League,Jos Buttler, Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Field_First,Rajasthan Royals,2 Wickets,Wickets,224,31,2024
League,Rishabh Pant, Ahmedabad,Gujarat Titans,Delhi Capitals,Delhi Capitals,Field_First,Delhi Capitals,6 Wickets,Wickets,90,32,2024
League,Jasprit Bumrah, Mullanpur,Mumbai Indians,Punjab Kings,Punjab Kings,Field_First,Mumbai Indians,9 Runs,Runs,193,33,2024
League,KL Rahul, Lucknow,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Field_First,Lucknow Super Giants,8 Wickets,Wickets,177,34,2024
League,Travis Head, Delhi,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Field_First,Sunrisers Hyderabad,67 Runs,Runs,267,35,2024
League,Andre Russell, Eden Gardens,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Field_First,Kolkata Knight Riders,1 Runs,Runs,223,36,2024
League,Sai Kishore, Mullanpur,Punjab Kings,Gujarat Titans,Punjab Kings,Bat_First,Gujarat Titans,3 Wickets,Wickets,143,37,2024
League,Sandeep Sharma, Jaipur,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Bat_First,Rajasthan Royals,9 Wickets,Wickets,180,38,2024
League,Marcus Stoinis, Chennai,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Field_First,Lucknow Super Giants,6 Wickets,Wickets,211,39,2024
League,Rishabh Pant, Delhi,Delhi Capitals,Gujarat Titans,Gujarat Titans,Field_First,Delhi Capitals,4 Runs,Runs,225,40,2024
League,Rajat Patidar, Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,Bat_First,Royal Challengers Bengaluru,35 Runs,Runs,207,41,2024
League,Jonny Bairstow, Eden Gardens,Kolkata Knight Riders,Punjab Kings,Punjab Kings,Field_First,Punjab Kings,8 Wickets,Wickets,262,42,2024
